comp_1,comp_2
1554,25887
14216,25284
7124,200
22361,3799
24687,22951
1071,6640
16795,24631
16371,21862
23092,3757
16957,26068
9915,14239
23644,3111
9043,20890
13188,22741
20514,24043
10900,23435
13092,13177
23914,24792
5866,6144
4258,26430
15587,10613
22223,24641
5831,9708
3343,19742
7858,11355
24575,9283
7452,13464
3477,18338
23353,2721
15940,12903
4910,957
4789,5758
21136,12188
3468,24359
25961,12740
21376,21276
22284,13109
16679,6062
21664,12660
14441,10404
21305,8294
10442,12364
12648,17077
6251,20049
6126,528
25198,2708
9062,5361
19293,23123
2462,23527
4875,23713
7646,12649
6242,6508
15707,12260
759,21068
6042,17268
19797,13511
24490,14109
18274,7679
24544,13559
2339,8241
23611,25568
4985,20131
16103,19377
1693,6248
4096,21671
13896,11571
27112,1379
9723,14925
26701,22154
23500,13174
14213,9306
18459,15776
19623,1909
2765,7248
20219,21939
18018,12196
1230,26112
24611,1184
20705,15591
471,8211
10232,11606
21351,11234
14473,7623
5525,11621
7288,22538
17452,20467
15071,13181
9549,18201
7453,2100
20771,1280
15817,10986
25589,21477
17238,15419
24864,10239
20434,5947
8974,21221
12414,19991
15628,7149
8038,24881
8937,20902
15932,25566
4892,879
619,22140
25436,22358
4024,8747
20995,7062
25350,8813
25589,12734
11903,3511
7598,26663
15213,22758
10427,20167
8755,8122
12231,19739
22728,10975
15328,23597
25551,11249
8021,24850
24031,273
22963,23195
2937,1975
6172,21407
1312,4221
1458,4955
20786,10429
15909,23763
2777,7363
8635,12592
6357,15701
9378,25210
13232,22709
11344,24767
7706,2582
9624,15744
22285,18180
17897,22649
25220,12067
197,22511
4241,8907
20463,14727
21998,1091
4808,12355
11326,19650
3463,17020
16938,18629
4082,1916
25890,5942
16399,23417
7383,3033
4399,11257
18325,644
16700,3457
21017,7734
16545,3822
20680,24869
18576,169
20200,2776
7609,2217
26433,9709
15835,23978
21094,4014
7236,18517
12301,5011
3843,16346
25185,5623
5777,8319
7539,5399
7755,13996
13324,25973
5748,3156
17344,22366
21277,4986
3471,2650
23374,2207
1471,1357
12273,501
16730,3659
22286,23801
4683,57
22132,8389
6885,242
7462,3457
25306,933
20527,14194
25812,26477
22321,21447
15746,16071
22840,27114
7737,7737
24119,14040
17239,1052
3738,22400
779,14596
9582,1946
10149,14545
23820,11456
16402,6424
1520,9861
4028,23353
19841,15091
3257,24898
16037,22578
3066,4239
19678,16291
2828,22010
4433,2807
4287,19933
6982,26873
22946,22732
6519,11101
1194,23948
13411,19903
7493,11615
12387,15
5330,17270
2620,7456
13159,9681
10002,14277
3263,11307
8073,2453
6231,4218
23887,14060
18301,1285
20916,13081
21256,5940
8994,23040
17105,10884
8740,4335
10160,5208
20254,12723
6100,26499
15224,618
24184,9201
25312,7637
2773,5115
11920,26646
14918,14770
13601,24700
7639,2165
3994,8104
6818,1061
12948,26786
10770,4228
4765,6281
8798,21787
15628,18780
4119,497
10929,8630
25045,13613
5084,4632
15143,1239
228,8981
8697,13792
4450,16696
14349,5230
8840,5605
9217,23290
26136,25582
16136,11615
17265,14993
25526,21331
23374,19880
973,22139
17954,20468
21682,16201
21379,19377
322,23898
834,9178
7097,25392
25546,24325
23257,4171
4022,24626
2198,12082
25539,1184
7779,5140
24228,5311
14447,15088
12169,4131
20677,26720
26165,15484
16353,3122
16883,26378
3334,20759
16775,11019
1909,21830
2499,12587
16366,533
24103,663
13702,18307
11241,22067
7513,5782
12626,10554
25770,11964
5112,14505
19002,23188
22338,4466
20303,11254
5024,6708
7228,10493
24837,2022
5790,25510
9988,529
26373,17668
24052,2601
9895,8079
8365,11904
15730,13846
7867,18909
4387,17973
8326,1947
14431,8110
344,9811
21046,1558
4809,26880
12681,3957
1569,4463
24494,14620
12147,19157
8849,22349
8949,14142
5618,3945
19455,12354
25928,8137
24423,22760
6705,20579
13951,21168
7058,9948
12257,18201
2971,26546
13742,5309
8634,24944
20161,7486
4961,25053
12592,19903
9525,26297
23669,3952
25670,9426
9787,19580
704,3166
2294,5023
3756,4952
23960,12503
19617,17748
17140,19247
18311,2466
21554,12367
18524,16042
14831,14293
10182,7451
205,1696
24963,25058
17184,10574
1631,11151
12707,2189
22920,18577
26192,23536
20461,12241
2857,21052
15941,8958
18760,18594
11882,10776
16828,499
14571,4934
18302,23125
347,21142
21256,3477
1581,10661
2536,22825
9760,25995
12536,15762
23228,11
21358,6134
19633,14770
6188,14397
14875,20279
10092,21973
8372,24740
2040,15615
874,18561
23385,23162
5770,50
12741,4799
7748,12360
10471,25466
21985,19622
13276,17343
18520,11101
3182,25449
10283,21783
6238,19122
23464,21274
2733,2379
10800,8314
7820,13397
14458,2212
14641,15979
1850,11112
23297,1000
6748,6914
12482,5239
4211,22409
6199,16475
12887,25443
24752,15230
16394,23282
23246,6920
24638,5983
15306,17099
23092,9021
12993,22879
25395,12758
2225,14660
3611,13857
11413,21762
6385,4517
2418,15339
23642,3740
3576,17345
25001,23601
24077,19227
982,21532
20006,14213
25263,11102
4595,17349
4392,10602
16942,16169
19215,20630
19966,2924
19591,4221
23004,7307
23000,17215
17287,25679
16259,21627
5337,21041
1005,12952
14397,24956
2943,14603
2690,9472
16335,5227
22463,11833
14042,6723
6727,26679
5931,9349
19431,16102
21187,18810
10915,20644
9588,24231
24045,5698
460,5251
25973,6479
1218,18081
11406,23182
21435,3974
16680,20049
8301,21972
22106,6183
2067,17922
6320,19319
24150,24744
6663,26782
22490,10605
3575,3796
24303,10586
18419,7162
24151,25609
14459,24257
878,14346
18492,17176
12872,16034
24734,26052
22655,19588
26521,5972
5678,732
11253,11093
12580,18725
24543,13574
21278,3535
20833,19519
8002,15914
21791,11390
23793,16902
21102,3413
15176,5854
10659,24198
273,3280
21875,13665
13652,22938
21290,10526
7334,9189
2405,22665
7105,2733
12818,6856
21158,3295
1262,6907
20213,26204
9147,12359
18818,12496
7989,14664
21622,5124
3808,7823
26753,18980
24094,23662
20842,15947
24627,5604
2230,3538
10659,11980
5333,19451
1105,26638
13583,17883
7985,3613
4645,15502
25031,5961
5585,18343
17996,16254
12730,210
3823,14013
21929,16038
4506,19240
5666,1363
14219,4157
20801,16842
12779,14119
5049,9513
19568,21977
10989,10177
11303,12076
15569,11432
13807,25354
1458,25120
3165,22252
14834,12702
21797,20536
11317,360
25356,6592
25385,23896
14651,17414
345,17974
26102,5339
21748,17721
1835,13832
4185,19655
2870,2285
1449,13545
17489,8583
23636,26131
25475,1537
8965,14213
8398,359
17822,5203
22421,4402
1775,465
22064,14165
20318,7397
14333,11099
19262,21382
6483,15305
19714,19945
4475,22409
18583,11227
14179,23980
16846,7004
371,21095
6014,4225
20874,14118
7517,20994
1467,9140
22042,20106
14781,4262
17355,18024
3950,2980
27090,21194
6873,23375
9268,16994
12417,6794
22489,17010
8864,811
1348,9978
24620,17284
21410,677
21100,12312
19116,18943
14578,2515
5368,1591
6639,2267
